x,x -   x		  x   x 1
1,1 -  60		180 120 1
1,1 -  55		180 125 1
0,1 -  50		180 130 1
0,1 -  45		180 135 1
0,1 -  40		180 140 1
0,1 -  35		180 145 1
0,1 -  30		180 150 1
0,1 -  25		180 155 1
0,1 -  20		180 160 1
0,1 -  15		180 165 1
0,1 -  10		180 170 1
0,1 -   5		180 175 1
0,1 -   0		180 180 1
0,0 - 251		180 185 1
0,0 - 246		180 190 1
0,0 - 241		180 195 1
0,0 - 236		180 200 1
0,0 - 231		180 205 1
0,0 - 226		180 210 1
0,0 - 221		180 215 1
0,0 - 216		180 220 1
0,0 - 211		180 225 1
0,0 - 206		180 230 1
0,0 - 201		180 235 1
0,0 - 196		180 240 1
0,0 - 191		180 245 1
0,0 - 186		180 250 1
0,0 - 181		180 255 1
0,1 - 190		190   0 1
0,1 - 185		190   5 1
0,1 - 180		190  10 1
0,1 - 175		190  15 1
0,1 - 170		190  20 1
0,1 - 165		190  25 1
0,1 - 160		190  30 1
0,1 - 155		190  35 1
0,1 - 150		190  40 1
0,1 - 145		190  45 1
0,1 - 140		190  50 1
0,1 - 135		190  55 1
0,1 - 130		190  60 1
1,1 - 125		190  65 1
1,1 - 120		190  70 1
1,1 - 115		190  75 1
1,1 - 110		190  80 1
1,1 - 105		190  85 1
1,1 - 100		190  90 1
1,1 -  95		190  95 1
1,1 -  90		190 100 1
1,1 -  85		190 105 1
1,1 -  80		190 110 1
1,1 -  75		190 115 1
1,1 -  70		190 120 1
1,1 -  65		190 125 1
0,1 -  60		190 130 1
0,1 -  55		190 135 1
0,1 -  50		190 140 1
0,1 -  45		190 145 1
0,1 -  40		190 150 1
0,1 -  35		190 155 1
0,1 -  30		190 160 1
0,1 -  25		190 165 1
0,1 -  20		190 170 1
0,1 -  15		190 175 1
0,1 -  10		190 180 1
0,1 -   5		190 185 1
0,1 -   0		190 190 1
0,0 - 251		190 195 1
0,0 - 246		190 200 1
0,0 - 241		190 205 1
0,0 - 236		190 210 1
0,0 - 231		190 215 1
0,0 - 226		190 220 1
0,0 - 221		190 225 1
0,0 - 216		190 230 1
0,0 - 211		190 235 1
0,0 - 206		190 240 1
0,0 - 201		190 245 1
0,0 - 196		190 250 1
0,0 - 191		190 255 1
0,1 - 200		200   0 1
0,1 - 195		200   5 1
0,1 - 190		200  10 1
0,1 - 185		200  15 1
0,1 - 180		200  20 1
0,1 - 175		200  25 1
0,1 - 170		200  30 1
0,1 - 165		200  35 1
0,1 - 160		200  40 1
0,1 - 155		200  45 1
0,1 - 150		200  50 1
0,1 - 145		200  55 1
0,1 - 140		200  60 1
0,1 - 135		200  65 1
0,1 - 130		200  70 1
1,1 - 125		200  75 1
1,1 - 120		200  80 1
1,1 - 115		200  85 1
1,1 - 110		200  90 1
1,1 - 105		200  95 1
1,1 - 100		200 100 1
1,1 -  95		200 105 1
1,1 -  90		200 110 1
1,1 -  85		200 115 1
1,1 -  80		200 120 1
1,1 -  75		200 125 1
0,1 -  70		200 130 1
0,1 -  65		200 135 1
0,1 -  60		200 140 1
0,1 -  55		200 145 1
0,1 -  50		200 150 1
0,1 -  45		200 155 1
0,1 -  40		200 160 1
0,1 -  35		200 165 1
0,1 -  30		200 170 1
0,1 -  25		200 175 1
0,1 -  20		200 180 1
0,1 -  15		200 185 1
0,1 -  10		200 190 1
0,1 -   5		200 195 1
0,1 -   0		200 200 1
0,0 - 251		200 205 1
0,0 - 246		200 210 1
0,0 - 241		200 215 1
0,0 - 236		200 220 1
0,0 - 231		200 225 1
0,0 - 226		200 230 1
0,0 - 221		200 235 1
0,0 - 216		200 240 1
0,0 - 211		200 245 1
0,0 - 206		200 250 1
0,0 - 201		200 255 1
0,1 - 210		210   0 1
0,1 - 205		210   5 1
0,1 - 200		210  10 1
0,1 - 195		210  15 1
0,1 - 190		210  20 1
0,1 - 185		210  25 1
0,1 - 180		210  30 1
0,1 - 175		210  35 1
0,1 - 170		210  40 1
0,1 - 165		210  45 1
0,1 - 160		210  50 1
0,1 - 155		210  55 1
0,1 - 150		210  60 1
0,1 - 145		210  65 1
0,1 - 140		210  70 1
0,1 - 135		210  75 1
0,1 - 130		210  80 1
1,1 - 125		210  85 1
1,1 - 120		210  90 1
1,1 - 115		210  95 1
1,1 - 110		210 100 1
1,1 - 105		210 105 1
1,1 - 100		210 110 1
1,1 -  95		210 115 1
1,1 -  90		210 120 1
1,1 -  85		210 125 1
0,1 -  80		210 130 1
0,1 -  75		210 135 1
0,1 -  70		210 140 1
0,1 -  65		210 145 1
0,1 -  60		210 150 1
0,1 -  55		210 155 1
0,1 -  50		210 160 1
0,1 -  45		210 165 1
0,1 -  40		210 170 1
0,1 -  35		210 175 1
0,1 -  30		210 180 1
0,1 -  25		210 185 1
0,1 -  20		210 190 1
0,1 -  15		210 195 1
0,1 -  10		210 200 1
0,1 -   5		210 205 1
0,1 -   0		210 210 1
0,0 - 251		210 215 1
0,0 - 246		210 220 1
0,0 - 241		210 225 1
0,0 - 236		210 230 1
0,0 - 231		210 235 1
0,0 - 226		210 240 1
0,0 - 221		210 245 1
0,0 - 216		210 250 1
0,0 - 211		210 255 1
0,1 - 220		220   0 1
0,1 - 215		220   5 1
0,1 - 210		220  10 1
0,1 - 205		220  15 1
0,1 - 200		220  20 1
0,1 - 195		220  25 1
0,1 - 190		220  30 1
0,1 - 185		220  35 1
0,1 - 180		220  40 1
0,1 - 175		220  45 1
0,1 - 170		220  50 1
0,1 - 165		220  55 1
0,1 - 160		220  60 1
0,1 - 155		220  65 1
0,1 - 150		220  70 1
0,1 - 145		220  75 1
0,1 - 140		220  80 1
0,1 - 135		220  85 1
0,1 - 130		220  90 1
1,1 - 125		220  95 1
1,1 - 120		220 100 1
1,1 - 115		220 105 1
1,1 - 110		220 110 1
1,1 - 105		220 115 1
1,1 - 100		220 120 1
1,1 -  95		220 125 1
0,1 -  90		220 130 1
0,1 -  85		220 135 1
0,1 -  80		220 140 1
0,1 -  75		220 145 1
0,1 -  70		220 150 1
0,1 -  65		220 155 1
0,1 -  60		220 160 1
0,1 -  55		220 165 1
0,1 -  50		220 170 1
0,1 -  45		220 175 1
0,1 -  40		220 180 1
0,1 -  35		220 185 1
0,1 -  30		220 190 1
0,1 -  25		220 195 1
0,1 -  20		220 200 1
0,1 -  15		220 205 1
0,1 -  10		220 210 1
0,1 -   5		220 215 1
0,1 -   0		220 220 1
0,0 - 251		220 225 1
0,0 - 246		220 230 1
0,0 - 241		220 235 1
0,0 - 236		220 240 1
0,0 - 231		220 245 1
0,0 - 226		220 250 1
0,0 - 221		220 255 1
0,1 - 230		230   0 1
0,1 - 225		230   5 1
0,1 - 220		230  10 1
0,1 - 215		230  15 1
0,1 - 210		230  20 1
0,1 - 205		230  25 1
0,1 - 200		230  30 1
0,1 - 195		230  35 1
0,1 - 190		230  40 1
0,1 - 185		230  45 1
0,1 - 180		230  50 1
0,1 - 175		230  55 1
0,1 - 170		230  60 1
0,1 - 165		230  65 1
0,1 - 160		230  70 1
0,1 - 155		230  75 1
0,1 - 150		230  80 1
0,1 - 145		230  85 1
0,1 - 140		230  90 1
0,1 - 135		230  95 1
0,1 - 130		230 100 1
1,1 - 125		230 105 1
1,1 - 120		230 110 1
1,1 - 115		230 115 1
1,1 - 110		230 120 1
1,1 - 105		230 125 1
0,1 - 100		230 130 1
0,1 -  95		230 135 1
0,1 -  90		230 140 1
0,1 -  85		230 145 1
0,1 -  80		230 150 1
0,1 -  75		230 155 1
0,1 -  70		230 160 1
0,1 -  65		230 165 1
0,1 -  60		230 170 1
0,1 -  55		230 175 1
0,1 -  50		230 180 1
0,1 -  45		230 185 1
0,1 -  40		230 190 1
0,1 -  35		230 195 1
0,1 -  30		230 200 1
0,1 -  25		230 205 1
0,1 -  20		230 210 1
0,1 -  15		230 215 1
0,1 -  10		230 220 1
0,1 -   5		230 225 1
0,1 -   0		230 230 1
0,0 - 251		230 235 1
0,0 - 246		230 240 1
0,0 - 241		230 245 1
0,0 - 236		230 250 1
0,0 - 231		230 255 1
0,1 - 240		240   0 1
0,1 - 235		240   5 1
0,1 - 230		240  10 1
0,1 - 225		240  15 1
0,1 - 220		240  20 1
0,1 - 215		240  25 1
0,1 - 210		240  30 1
0,1 - 205		240  35 1
0,1 - 200		240  40 1
0,1 - 195		240  45 1
0,1 - 190		240  50 1
0,1 - 185		240  55 1
0,1 - 180		240  60 1
0,1 - 175		240  65 1
0,1 - 170		240  70 1
0,1 - 165		240  75 1
0,1 - 160		240  80 1
0,1 - 155		240  85 1
0,1 - 150		240  90 1
0,1 - 145		240  95 1
0,1 - 140		240 100 1
0,1 - 135		240 105 1
0,1 - 130		240 110 1
1,1 - 125		240 115 1
1,1 - 120		240 120 1
1,1 - 115		240 125 1
0,1 - 110		240 130 1
0,1 - 105		240 135 1
0,1 - 100		240 140 1
0,1 -  95		240 145 1
0,1 -  90		240 150 1
0,1 -  85		240 155 1
0,1 -  80		240 160 1
0,1 -  75		240 165 1
0,1 -  70		240 170 1
0,1 -  65		240 175 1
0,1 -  60		240 180 1
0,1 -  55		240 185 1
0,1 -  50		240 190 1
0,1 -  45		240 195 1
0,1 -  40		240 200 1
0,1 -  35		240 205 1
0,1 -  30		240 210 1
0,1 -  25		240 215 1
0,1 -  20		240 220 1
0,1 -  15		240 225 1
0,1 -  10		240 230 1
0,1 -   5		240 235 1
0,1 -   0		240 240 1
0,0 - 251		240 245 1
0,0 - 246		240 250 1
0,0 - 241		240 255 1
0,1 - 250		250   0 1
0,1 - 245		250   5 1
0,1 - 240		250  10 1
0,1 - 235		250  15 1
0,1 - 230		250  20 1
0,1 - 225		250  25 1
0,1 - 220		250  30 1
0,1 - 215		250  35 1
0,1 - 210		250  40 1
0,1 - 205		250  45 1
0,1 - 200		250  50 1
0,1 - 195		250  55 1
0,1 - 190		250  60 1
0,1 - 185		250  65 1
0,1 - 180		250  70 1
0,1 - 175		250  75 1
0,1 - 170		250  80 1
0,1 - 165		250  85 1
0,1 - 160		250  90 1
0,1 - 155		250  95 1
0,1 - 150		250 100 1
0,1 - 145		250 105 1
0,1 - 140		250 110 1
0,1 - 135		250 115 1
0,1 - 130		250 120 1
1,1 - 125		250 125 1
0,1 - 120		250 130 1
0,1 - 115		250 135 1
0,1 - 110		250 140 1
0,1 - 105		250 145 1
0,1 - 100		250 150 1
0,1 -  95		250 155 1
0,1 -  90		250 160 1
0,1 -  85		250 165 1
0,1 -  80		250 170 1
0,1 -  75		250 175 1
0,1 -  70		250 180 1
0,1 -  65		250 185 1
0,1 -  60		250 190 1
0,1 -  55		250 195 1
0,1 -  50		250 200 1
0,1 -  45		250 205 1
0,1 -  40		250 210 1
0,1 -  35		250 215 1
0,1 -  30		250 220 1
0,1 -  25		250 225 1
0,1 -  20		250 230 1
0,1 -  15		250 235 1
0,1 -  10		250 240 1
0,1 -   5		250 245 1
0,1 -   0		250 250 1
0,0 - 251		250 255 1
